"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"
"244"	"ENSG00000154839"	2.9762055	0	2.3392905	0.96254	2.081426	0.940201	0	0.5692255
"245"	"ENSG00000167986"	191.675	42.2641	111.835	92.8537	141.472	12.6613	30.7947	12.717
"246"	"ENSG00000198862"	9.1319	3.22633	4.12879	2.47134	3.48354	0.42913	2.7186	0.945315
"247"	"ENSG00000163530"	0.167193	0	0.1726	1.01644	0.140501	0	0.0264698	0.471001
"248"	"ENSG00000168439"	128.031	66.92	122.754	206.144	197.633	18.685	59.8563	29.1066
"249"	"ENSG00000152223"	3.86172	1.74878	1.06748	3.00297	1.41828	0.210242	1.32397	0.538726
"250"	"ENSG00000141385"	41.7975	23.0486	25.7803	23.6202	22.4202	1.58345	18.5506	2.07753
"251"	"ENSG00000275895"	73.59965	22.66445	71.81105	125.3354	111.59365	15.71155	16.36122	19.970125
"252"	"ENSG00000107447"	0	0.0707455	0	0	0	0	0.04742605	0.0372589
"253"	"ENSG00000119950"	10.0179813333333	3.64268366666667	3.207212	5.69363666666667	7.01307	0.593349333333333	2.920141	3.05913333333333
"254"	"ENSG00000144815"	1.3977	0.21955	0.907132	0.588441	0.671916	0.116868	0.315212	0.322845
"255"	"ENSG00000112499"	0	0.0284239	0	0	0	0	0.0479332	0
"256"	"ENSG00000166479"	52.4992	8.18869	19.8824	19.8496	19.2313	1.56629	7.36542	4.37654
"257"	"ENSG00000179270"	0	0.0106067	0	0	0	0	0	0.0694522
"258"	"ENSG00000174837"	31.3159	0.2516035	25.71426	0	0	0	0.180082	1.43365
"259"	"ENSG00000124608"	6.57641	11.0293	6.09943	16.0723	12.3858	6.48469	7.36308	7.04403
"260"	"ENSG00000137070"	2.49378315789474	3.44549648947368	10.1780305368421	5.33976826315789	6.55387978947368	0.775907794736842	4.18802248947368	6.63174394736842
"261"	"ENSG00000138079"	0.951035	0	0.289146	1.65598	1.0236	0.0240281	0.0255544	0.364695
"262"	"ENSG00000164266"	0	0	0.262522	0	0	0	0	0.378508
"263"	"ENSG00000149503"	22.1398	0.894597	19.666	27.5866	28.1989	3.98802	0.679063	4.41227
