"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"	"expression_1.x"	"expression_2.x"	"expression_3.x"	"expression_1.y"	"expression_2.y"	"expression_3.y"
"80"	"ENSMUSG00000000693"	21.444822	0.3864598	18.414424	21.621896	21.54196054	5.890736	0.444354	10.90852	9.25252	9.3959	9.4272	9.25252	9.3959	9.4272
"81"	"ENSMUSG00000000708"	4.04522657142857	1.71857442857143	1.20892428571429	0.565764	1.14295714285714	1.03215328571429	1.92157857142857	3.80596742857143	6.31507666666667	6.31007666666667	6.26770333333333	6.31507666666667	6.31007666666667	6.26770333333333
"82"	"ENSMUSG00000000711"	30.406545	17.8201475	14.311911	8.1825635	12.01034	0.85788375	13.022671	3.082835	5.22	5.53681	5.390505	5.22	5.53681	5.390505
"83"	"ENSMUSG00000000730"	0.4158407592875	0.070833375	0.0242197	0.56120814275	0.29498525045375	0.12064725	0.0130518625	1.977282475	4.55897	4.52756	4.30754	4.55897	4.52756	4.30754
"84"	"ENSMUSG00000000731"	0.020549125	0.01064721875	0.00787975	0.0111699375	0.0149754625	0.0090237625	0.00329078125	0.055896855	5.07945	5.00241	5.10793	5.07945	5.00241	5.10793
"85"	"ENSMUSG00000000732"	1.7160935	0.64007775	3.7677125	0.2891515	0.2905185	0.178919	0.50655525	2.2046635	5.398155	5.03748	5.3023	5.398155	5.03748	5.3023
"86"	"ENSMUSG00000000738"	3.06581761538462	3.50965276923077	2.40776661538462	3.61044333846154	3.83106853846154	1.21023376923077	2.38614138461538	3.42506607692308	5.835385	5.658095	5.730355	5.835385	5.658095	5.730355
"87"	"ENSMUSG00000000743"	19.5337	8.7424945	17.098625	9.4828425	12.746368	1.873479825	5.76305425	2.65858675	8.2751	8.55136	8.50416	8.2751	8.55136	8.50416
"88"	"ENSMUSG00000000751"	12.8095504	4.99787146	7.1710346	1.75054982	4.70437398	0.7327304	4.13558	1.7104532	8.555765	8.4807	8.488065	8.555765	8.4807	8.488065
"89"	"ENSMUSG00000000753"	56.8705225	3.478388	152.661601	80.478805	57.41038	3.016888	4.437284	10.70997625	10.09691	10.552165	9.917275	10.09691	10.552165	9.917275
"90"	"ENSMUSG00000000759"	3.28439588888889	0.9560828	2.67568101888889	2.08982755563267	2.13039137555556	0.286987877777778	0.826046622222222	1.08117188888889	6.8857	6.88144	6.9348	6.8857	6.88144	6.9348
"91"	"ENSMUSG00000000776"	6.22403666666667	2.27891966666667	5.0151785	3.53956833333333	4.08166166666667	0.322439166666667	2.05700583333333	0.960116	6.621905	6.707185	6.5407	6.621905	6.707185	6.5407
"92"	"ENSMUSG00000000782"	4.90467	0.0666748	3.81223	0.982419	1.9895135	0.1302059	0.1386745	0.6604385	5.906605	5.699025	5.77207	5.906605	5.699025	5.77207
"93"	"ENSMUSG00000000787"	32.0448062	14.6469284	9.6417632	6.08795484	8.12530204	0.92227	12.472024	2.8560836	10.65055	10.79687	10.4716066666667	10.65055	10.79687	10.4716066666667
"94"	"ENSMUSG00000000791"	0.26172325	0.0746181333333333	0.4468524	0.0869373333333333	0.1751987	0.141776733333333	0.00146429666666667	0.78255525	4.56234	4.23215	4.19196	4.56234	4.23215	4.19196
"95"	"ENSMUSG00000000792"	0.299628	0.300383	0.291658	0.300418	0.453	0.0295979	0.25882	3.34975	5.154535	4.971345	4.842515	5.154535	4.971345	4.842515
"96"	"ENSMUSG00000000794"	0.853534	0.1961984	0.2566355	0.0119387	0.03964335	0.00783165	0.11996	0.1727965	4.40816	4.52189	4.43369	4.40816	4.52189	4.43369
"97"	"ENSMUSG00000000804"	1.71891377777778	0.254678555555556	0.590962076666667	0.748473222222222	0.86058	0.109184555555556	0.224273111111111	0.211675777777778	6.57708333333333	6.79891	6.72057666666667	6.57708333333333	6.79891	6.72057666666667
