ID_REF	VALUE
1416770_at	9.31794
1416771_at	8.51428
1416772_at	7.68356
1416773_at	8.00032
1416774_at	5.31414
1416775_at	5.25567
1416776_at	3.37204
1416777_at	2.88325
1416778_at	10.5818
1416779_at	9.09358
1416780_at	7.91684
1416781_at	8.75739
1416782_s_at	9.43644
1416783_at	4.72609
1416784_at	3.65131
1416785_at	4.89956
1416786_at	4.62243
1416787_at	5.04209
1416788_a_at	10.1853
1416789_at	9.79657
1416790_a_at	7.62364
1416791_a_at	8.80802
1416792_at	8.16675
1416793_at	8.87193
1416794_at	4.30579
1416795_at	7.36191
1416796_at	8.49693
1416797_at	4.2801
1416798_a_at	5.64218
1416799_at	9.46853
1416800_at	7.19071
1416801_at	8.9135
1416802_a_at	3.85098
1416803_at	10.8123
1416804_at	7.59739
1416805_at	9.20962
1416806_at	5.67737
1416807_at	12.053
1416808_at	10.8592
1416809_at	2.83805
1416810_at	9.1422
1416811_s_at	8.45453
1416812_at	7.45786
1416813_at	6.88466
1416814_at	7.61648
1416815_s_at	10.127
1416816_at	10.8776
1416817_at	6.90866
1416818_at	5.91067
1416819_at	9.25195
1416820_at	4.9671
1416821_at	4.8847
1416822_at	5.13589
1416823_a_at	9.48253
1416824_at	8.90019
1416825_at	6.9244
1416826_a_at	8.26449
1416827_at	5.75037
1416828_at	6.48726
1416829_at	10.6123
1416830_at	8.96058
1416831_at	6.38004
1416832_at	8.33424
1416833_at	3.15021
1416834_x_at	9.55488
1416835_s_at	10.1632
1416836_at	8.98164
1416837_at	8.00009
1416838_at	8.58583
1416839_at	2.84857
1416840_at	8.98497
1416841_at	7.84595
1416842_at	10.3344
1416843_at	7.39916
1416844_at	8.28383
1416845_at	6.91245
1416846_a_at	9.82949
1416847_s_at	2.91778
1416848_at	6.7205
1416849_at	8.47503
1416850_s_at	10.0489
1416851_at	5.77481
1416852_a_at	6.94913
1416853_at	6.03914
1416854_at	6.4258
1416855_at	11.0694
1416856_at	8.45265
1416857_at	10.0492
1416858_a_at	10.0443
1416859_at	9.26904
1416860_s_at	9.35831
1416861_at	7.7682
1416862_at	6.43586
1416863_at	6.61856
1416864_at	6.57918
1416865_at	6.38744
1416866_at	7.0457
1416867_at	6.06389
1416868_at	8.86344
1416869_x_at	5.98901
1416870_at	7.52351
1416871_at	5.83103
